Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"GT PIPELINE, LLC",Outlet flanges of tanks located at WPATF,Inlet flanges of tanks located at GT Main,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1177,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Main,Inlet flanges of tanks located at GT Shore,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1177,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Shore,Inlet flanges of tanks located at GT Main,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1177,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Main,Bayou Line inbound manifold at WPATF,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1177,,Crude
"GT PIPELINE, LLC",ORIGIN,DESTINATION (NOTE 2),,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,RATE (NOTE 3),,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at WPATF,Inlet flanges of tanks located at GT Main,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1277,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Main,Inlet flanges of tanks located at GT Shore,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1277,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Shore,Inlet flanges of tanks located at GT Main,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1277,,Crude
"GT PIPELINE, LLC",Outlet flanges of tanks located at GT Main,Bayou Line inbound manifold at WPATF,,16-12-2025,,Effective,,TABLE OF GENERAL COMMODITY RATES,,,,,,[D] $0.1277,,Crude
